epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20
39,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
40,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
41,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
42,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
43,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
44,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
45,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
46,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
47,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
48,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
49,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
50,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
51,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
52,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
53,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
54,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
55,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
56,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
57,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
58,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
59,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
60,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
61,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
62,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
63,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
64,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
65,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
66,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
67,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
68,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
69,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
70,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
71,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
72,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
73,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
74,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
75,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
76,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
77,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
78,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
79,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
80,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
81,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
82,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
83,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
84,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
85,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
86,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
87,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
88,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
89,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
90,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
91,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
92,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
93,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
94,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
95,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
96,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
97,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
98,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
99,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
100,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
101,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
102,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
103,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
104,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
105,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
106,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
107,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
108,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
109,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
110,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
111,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
112,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
113,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
114,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
115,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
116,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
117,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
118,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
119,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
120,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
121,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
122,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
123,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
124,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
125,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
126,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
127,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
128,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
129,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
130,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
131,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
132,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
133,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
134,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
135,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
136,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
137,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
138,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
139,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
140,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
141,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
142,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
143,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
144,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
145,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
146,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
147,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
148,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
149,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
150,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
151,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
152,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
153,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
154,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
155,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
156,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
157,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
158,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
159,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
160,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
161,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
162,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
163,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
164,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
165,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
166,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
167,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
168,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
169,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
170,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
171,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
172,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
173,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
174,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
175,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
176,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
177,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
178,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
179,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
180,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
181,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
182,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
183,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
184,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
185,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
186,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
187,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
188,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
189,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
190,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
191,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
192,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
193,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
194,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
195,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
196,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
197,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
198,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
199,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
200,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
201,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
202,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
203,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
204,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
205,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
206,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
207,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
208,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
209,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
210,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
211,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
212,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
213,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
214,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
215,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
216,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
217,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
218,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
219,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
220,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
221,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
222,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
223,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
224,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
225,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
226,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
227,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
228,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
229,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
230,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
231,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
232,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
233,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
234,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
235,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
236,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
237,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
238,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
239,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
240,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
241,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
242,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
243,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
244,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
245,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
246,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
247,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
248,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
249,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
250,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
